label,query,subcategory,exact_name,name_contains,district,aliases_en,aliases_zh,append_to,limit,enabled
Guidepost Montessori International Kindergarten (Discovery Bay) (K609625A),Guidepost Montessori International Kindergarten (Discovery Bay) (K609625A),majorDestination,Guidepost Montessori International Kindergarten (Discovery Bay) (K609625A),,,,,,1,true
Harbour Green Tower 1,Harbour Green Tower 1,majorDestination,Harbour Green Tower 1,,,,,,1,true
Harbour Green Tower 2,Harbour Green Tower 2,majorDestination,Harbour Green Tower 2,,,,,,1,true
Henley Park停車場,Henley Park停車場,majorDestination,Henley Park停車場,,,,,,1,true
HOME Centre (油尖旺中心),HOME Centre (油尖旺中心),majorDestination,HOME Centre (油尖旺中心),,,,,,1,true
HOME Centre (深水埗分中心),HOME Centre (深水埗分中心),majorDestination,HOME Centre (深水埗分中心),,,,,,1,true
HONG KONG INTERNATIONAL SCHOOL,HONG KONG INTERNATIONAL SCHOOL,majorDestination,HONG KONG INTERNATIONAL SCHOOL,,,,,,1,true
HOTEL 1936,HOTEL 1936,majorDestination,HOTEL 1936,,,,,,1,true
HOTEL PRAVO,HOTEL PRAVO,majorDestination,HOTEL PRAVO,,,,,,1,true
HOTEL STAGE,HOTEL STAGE,majorDestination,HOTEL STAGE,,,,,,1,true
INVICTUS SCHOOL,INVICTUS SCHOOL,majorDestination,INVICTUS SCHOOL,,,,,,1,true
ISLAND CLUB,ISLAND CLUB,majorDestination,ISLAND CLUB,,,,,,1,true
K11購物藝術館,K11購物藝術館,majorDestination,K11購物藝術館,,,,,,1,true
KELLETT SCHOOL,KELLETT SCHOOL,majorDestination,KELLETT SCHOOL,,,,,,1,true
KENNEDY SCHOOL,KENNEDY SCHOOL,majorDestination,KENNEDY SCHOOL,,,,,,1,true
KK HOTEL,KK HOTEL,majorDestination,KK HOTEL,,,,,,1,true
KOKO MARE第九座,KOKO MARE第九座,majorDestination,KOKO MARE第九座,,,,,,1,true
LANTAU YACHT CLUB,LANTAU YACHT CLUB,majorDestination,LANTAU YACHT CLUB,,,,,,1,true
M1 HOTEL,M1 HOTEL,majorDestination,M1 HOTEL,,,,,,1,true
METACITY HOTEL,METACITY HOTEL,majorDestination,METACITY HOTEL,,,,,,1,true
MIDTOWN 會所,MIDTOWN 會所,majorDestination,MIDTOWN 會所,,,,,,1,true
MINI HOTEL,MINI HOTEL,majorDestination,MINI HOTEL,,,,,,1,true
NICHOLSON CLUB,NICHOLSON CLUB,majorDestination,NICHOLSON CLUB,,,,,,1,true
Nottingham Children Campus,Nottingham Children Campus,majorDestination,Nottingham Children Campus,,,,,,1,true
One Harbour Square,One Harbour Square,majorDestination,One Harbour Square,,,,,,1,true
PEAK SCHOOL,PEAK SCHOOL,majorDestination,PEAK SCHOOL,,,,,,1,true
POOLSIDE CLUB,POOLSIDE CLUB,majorDestination,POOLSIDE CLUB,,,,,,1,true
PRUDENTIAL HOTEL,PRUDENTIAL HOTEL,majorDestination,PRUDENTIAL HOTEL,,,,,,1,true
St.Stephen's College College House,St.Stephen's College College House,majorDestination,St.Stephen's College College House,,,,,,1,true
STANLEY ORIENTAL HOTEL,STANLEY ORIENTAL HOTEL,majorDestination,STANLEY ORIENTAL HOTEL,,,,,,1,true
T Market,T Market,majorDestination,T Market,,,,,,1,true
T 酒店,T 酒店,majorDestination,T 酒店,,,,,,1,true
The Parkside 商場,The Parkside 商場,majorDestination,The Parkside 商場,,,,,,1,true
TOPAZ CLUB,TOPAZ CLUB,majorDestination,TOPAZ CLUB,,,,,,1,true
TOUCH Centre (東涌分中心),TOUCH Centre (東涌分中心),majorDestination,TOUCH Centre (東涌分中心),,,,,,1,true
Tower 1,Tower 1,majorDestination,Tower 1,,,,,,1,true
TP SOCIAL CLUB,TP SOCIAL CLUB,majorDestination,TP SOCIAL CLUB,,,,,,1,true
Two Harbour Square,Two Harbour Square,majorDestination,Two Harbour Square,,,,,,1,true
Two Harbour Square 停車場,Two Harbour Square 停車場,majorDestination,Two Harbour Square 停車場,,,,,,1,true
Vango-上水翠麗花園,Vango-上水翠麗花園,majorDestination,Vango-上水翠麗花園,,,,,,1,true
Ventilation Building,Ventilation Building,majorDestination,Ventilation Building,,,,,,1,true
Villa Alfavista Villa No 1,Villa Alfavista Villa No 1,majorDestination,Villa Alfavista Villa No 1,,,,,,1,true
Villa Alfavista Villa No 2,Villa Alfavista Villa No 2,majorDestination,Villa Alfavista Villa No 2,,,,,,1,true
Villa Alfavista Villa No 3,Villa Alfavista Villa No 3,majorDestination,Villa Alfavista Villa No 3,,,,,,1,true
Villa Alfavista Villa No 4,Villa Alfavista Villa No 4,majorDestination,Villa Alfavista Villa No 4,,,,,,1,true
Villa Alfavista Villa No 5,Villa Alfavista Villa No 5,majorDestination,Villa Alfavista Villa No 5,,,,,,1,true
Villa Alfavista Villa No 6,Villa Alfavista Villa No 6,majorDestination,Villa Alfavista Villa No 6,,,,,,1,true
Villa Alfavista Villa No 7,Villa Alfavista Villa No 7,majorDestination,Villa Alfavista Villa No 7,,,,,,1,true
We Go MALL 薈高,We Go MALL 薈高,majorDestination,We Go MALL 薈高,,,,,,1,true
Wetland Seasons Bay Shopping Arcade,Wetland Seasons Bay Shopping Arcade,majorDestination,Wetland Seasons Bay Shopping Arcade,,,,,,1,true
Wetland Seasons Bay 公眾停車場,Wetland Seasons Bay 公眾停車場,majorDestination,Wetland Seasons Bay 公眾停車場,,,,,,1,true
WM HOTEL,WM HOTEL,majorDestination,WM HOTEL,,,,,,1,true
wwwtc mall,wwwtc mall,majorDestination,wwwtc mall,,,,,,1,true
X 光化驗所 (中環),X 光化驗所 (中環),majorDestination,X 光化驗所 (中環),,,,,,1,true
YOHO會所,YOHO會所,majorDestination,YOHO會所,,,,,,1,true
