2026-04-11
,,,,,,,,,,,,,,,,,,,,,,,
PoleId,ParkingSpaceId,Region,Region_tc,Region_sc,District,District_tc,District_sc,SubDistrict,SubDistrict_tc,SubDistrict_sc,Street,Street_tc,Street_sc,SectionOfStreet,SectionOfStreet_tc,SectionOfStreet_sc,Latitude,Longitude,VehicleType,LPP,OperatingPeriod,TimeUnit,PaymentUnit
10015,10015A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG CENTRAL,南昌中,南昌中,TAI NAN STREET,大南街,大南街,KWEILIN STREET,桂林街,桂林街,22.32995042536477,114.1597708647216,G,60,3A,30,2.00
10015,10015B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG CENTRAL,南昌中,南昌中,TAI NAN STREET,大南街,大南街,KWEILIN STREET,桂林街,桂林街,22.33000871777287,114.1596938106833,G,60,3A,30,2.00
1002,1002A,HONG KONG,香港島,香港岛,WAN CHAI,灣仔,湾仔,TAI HANG,大坑,大坑,TAI HANG ROAD,大坑道,大坑道,TAI HANG ROAD CAR PARK,大坑道停車場,大坑道停车场,22.2766984,114.1945873,A,30,D,15,4.00
10021,10021A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,PEI HO STREET,北河街,北河街,22.32730668818937,114.1611630694335,A,30,D,15,4.00
10021,10021B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,PEI HO STREET,北河街,北河街,22.32733499839123,114.1611280102141,A,30,D,15,4.00
10022,10022A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,PEI HO STREET,北河街,北河街,22.32737155024427,114.1610779263045,A,30,D,15,4.00
10022,10022B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,PEI HO STREET,北河街,北河街,22.32740165269854,114.1610397859999,A,30,D,15,4.00
10023,10023A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,PEI HO STREET,北河街,北河街,22.32743712916952,114.1609916279395,A,30,D,15,4.00
10023,10023B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,PEI HO STREET,北河街,北河街,22.32746615632463,114.1609561841933,A,30,D,15,4.00
10024,10024A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,HAI TAN STREET,海壇街,海坛街,NAM CHEONG STREET,南昌街,南昌街,22.3268377,114.1607574,A,30,D,15,4.00
10024,10024B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,HAI TAN STREET,海壇街,海坛街,NAM CHEONG STREET,南昌街,南昌街,22.3268830,114.1606970,A,30,D,15,4.00
10025,10025A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,PEI HO STREET,北河街,北河街,22.32756685399287,114.1608217276059,A,30,D,15,4.00
10025,10025B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,PEI HO STREET,北河街,北河街,22.32759803189049,114.1607832007501,A,30,D,15,4.00
10026,10026A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,PEI HO STREET,北河街,北河街,22.32763673381796,114.1607331164102,A,30,D,15,4.00
10026,10026B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,PEI HO STREET,北河街,北河街,22.32766611923831,114.1606957467413,A,30,D,15,4.00
10027,10027A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,PEI HO STREET,北河街,北河街,22.32770446379647,114.1606483588717,A,30,D,15,4.00
10028,10028A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,YEN CHOW STREET,欽州街,钦州街,22.32951582126018,114.1581640126258,A,120,D,15,4.00
10028,10028B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,YEN CHOW STREET,欽州街,钦州街,22.3294885865685,114.1582009986479,A,120,D,15,4.00
10029,10029A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,YEN CHOW STREET,欽州街,钦州街,22.32958080067136,114.1580766837235,A,120,D,15,4.00
10029,10029B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,YEN CHOW STREET,欽州街,钦州街,22.32955213296506,114.1581146979074,A,120,D,15,4.00
1003,1003B,HONG KONG,香港島,香港岛,WAN CHAI,灣仔,湾仔,TAI HANG,大坑,大坑,TAI HANG ROAD,大坑道,大坑道,TAI HANG ROAD CAR PARK,大坑道停車場,大坑道停车场,22.2766363,114.1947587,C,120,3D,15,2.00
10030,10030A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,YEN CHOW STREET,欽州街,钦州街,22.3296476931303,114.1579929508073,A,120,D,15,4.00
10030,10030B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,YEN CHOW STREET,欽州街,钦州街,22.3296199804028,114.1580268550921,A,120,D,15,4.00
10031,10031A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,YEN CHOW STREET,欽州街,钦州街,22.32971362878681,114.1579056216148,A,120,D,15,4.00
10031,10031B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,YEE KUK STREET,醫局街,医局街,YEN CHOW STREET,欽州街,钦州街,22.32968496118102,114.1579441493529,A,120,D,15,4.00
10033,10033B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,HAI TAN STREET,海壇街,海坛街,YEN CHOW STREET,欽州街,钦州街,22.32898112889882,114.1580340886809,A,120,D,15,4.00
10034,10034A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,HAI TAN STREET,海壇街,海坛街,YEN CHOW STREET,欽州街,钦州街,22.32901982987979,114.1579832323825,A,120,D,15,4.00
10034,10034B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,HAI TAN STREET,海壇街,海坛街,YEN CHOW STREET,欽州街,钦州街,22.32905064894147,114.1579477873731,A,120,D,15,4.00
10035,10035A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,HAI TAN STREET,海壇街,海坛街,YEN CHOW STREET,欽州街,钦州街,22.32908576610652,114.1579007840742,A,120,D,15,4.00
10035,10035B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,HAI TAN STREET,海壇街,海坛街,YEN CHOW STREET,欽州街,钦州街,22.32911228379298,114.1578645689042,A,120,D,15,4.00
10036,10036A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,HAI TAN STREET,海壇街,海坛街,YEN CHOW STREET,欽州街,钦州街,22.32915026868523,114.1578144833161,A,120,D,15,4.00
10036,10036B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,HAI TAN STREET,海壇街,海坛街,YEN CHOW STREET,欽州街,钦州街,22.32917965365276,114.1577790374607,A,120,D,15,4.00
10037,10037A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,HAI TAN STREET,海壇街,海坛街,YEN CHOW STREET,欽州街,钦州街,22.32922602339881,114.1577134977,G,60,3A,15,2.00
10037,10037B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,HAI TAN STREET,海壇街,海坛街,YEN CHOW STREET,欽州街,钦州街,22.32928335940712,114.1576441475063,G,60,3A,15,2.00
10038,10038A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,HAI TAN STREET,海壇街,海坛街,YEN CHOW STREET,欽州街,钦州街,22.32934571122065,114.157561699376,G,60,3A,15,2.00
10039,10039A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,HAI TAN STREET,海壇街,海坛街,YEN CHOW STREET,欽州街,钦州街,22.3289017,114.1580113,A,120,D,15,4.00
10039,10039B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,HAI TAN STREET,海壇街,海坛街,YEN CHOW STREET,欽州街,钦州街,22.3288646,114.1580568,A,120,D,15,4.00
10040,10040A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,HAI TAN STREET,海壇街,海坛街,YEN CHOW STREET,欽州街,钦州街,22.3289706,114.1579221,A,120,D,15,4.00
10040,10040B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG WEST,南昌西,南昌西,HAI TAN STREET,海壇街,海坛街,YEN CHOW STREET,欽州街,钦州街,22.3289377,114.1579643,A,120,D,15,4.00
10041,10041A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,CHEUNG SHA WAN,長沙灣,长沙湾,KIU KIANG STREET,九江街,九江街,LAI CHI KOK ROAD,荔枝角道,荔枝角道,22.32922437051978,114.1570710818731,A,120,D,15,4.00
10041,10041B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,CHEUNG SHA WAN,長沙灣,长沙湾,KIU KIANG STREET,九江街,九江街,LAI CHI KOK ROAD,荔枝角道,荔枝角道,22.32919121466506,114.1570409095523,A,120,D,15,4.00
10042,10042A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,CHEUNG SHA WAN,長沙灣,长沙湾,KIU KIANG STREET,九江街,九江街,LAI CHI KOK ROAD,荔枝角道,荔枝角道,22.329260146338,114.1572294136573,A,120,D,15,4.00
10042,10042B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,CHEUNG SHA WAN,長沙灣,长沙湾,KIU KIANG STREET,九江街,九江街,LAI CHI KOK ROAD,荔枝角道,荔枝角道,22.32929527375067,114.1572613834346,A,120,D,15,4.00
10057,10057A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG CENTRAL,南昌中,南昌中,PEI HO STREET,北河街,北河街,HAI TAN STREET,海壇街,海坛街,22.32751470747975,114.1602438873354,A,120,D,15,4.00
10057,10057B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG CENTRAL,南昌中,南昌中,PEI HO STREET,北河街,北河街,HAI TAN STREET,海壇街,海坛街,22.32754768257754,114.1602695649798,A,120,D,15,4.00
