label,query,subcategory,exact_name,name_contains,district,aliases_en,aliases_zh,append_to,limit,enabled
Bayview Pavilion House 2,Bayview Pavilion House 2,officeTower,Bayview Pavilion House 2,,,,,,1,true
Bayview Pavilion House 3,Bayview Pavilion House 3,officeTower,Bayview Pavilion House 3,,,,,,1,true
Bayview Pavilion House 8,Bayview Pavilion House 8,officeTower,Bayview Pavilion House 8,,,,,,1,true
Dermamier Skin & Laser Centre,Dermamier Skin & Laser Centre,officeTower,Dermamier Skin & Laser Centre,,,,,,1,true
HOPE 少數族裔人士支援服務中心,HOPE 少數族裔人士支援服務中心,officeTower,HOPE 少數族裔人士支援服務中心,,,,,,1,true
HOPE少數族裔人士支援服務中心,HOPE少數族裔人士支援服務中心,officeTower,HOPE少數族裔人士支援服務中心,,,,,,1,true
Market Place by Jasons-中央大廈,Market Place by Jasons-中央大廈,officeTower,Market Place by Jasons-中央大廈,,,,,,1,true
Wi-Fi.HK 熱點位置: McCafe - 海富中心,Wi-Fi.HK 熱點位置: McCafe - 海富中心,officeTower,Wi-Fi.HK 熱點位置: McCafe - 海富中心,,,,,,1,true
Wi-Fi.HK 熱點位置: 麥當勞 - 沙田商業中心,Wi-Fi.HK 熱點位置: 麥當勞 - 沙田商業中心,officeTower,Wi-Fi.HK 熱點位置: 麥當勞 - 沙田商業中心,,,,,,1,true
Wi-Fi.HK 熱點位置: 麥當勞 - 海富中心,Wi-Fi.HK 熱點位置: 麥當勞 - 海富中心,officeTower,Wi-Fi.HK 熱點位置: 麥當勞 - 海富中心,,,,,,1,true
「家兒牽」共享親職支援中心,「家兒牽」共享親職支援中心,officeTower,「家兒牽」共享親職支援中心,,,,,,1,true
上海商業銀行大廈,上海商業銀行大廈,officeTower,上海商業銀行大廈,,,,,,1,true
上海實業大廈,上海實業大廈,officeTower,上海實業大廈,,,,,,1,true
中卓醫務腫瘤科日間治療中心,中卓醫務腫瘤科日間治療中心,officeTower,中卓醫務腫瘤科日間治療中心,,,,,,1,true
中央大樓,中央大樓,officeTower,中央大樓,,,,,,1,true
中滙商業大廈,中滙商業大廈,officeTower,中滙商業大廈,,,,,,1,true
中興商業大廈 (別稱),中興商業大廈 (別稱),officeTower,中興商業大廈 (別稱),,,,,,1,true
中銀灣仔商業中心,中銀灣仔商業中心,officeTower,中銀灣仔商業中心,,,,,,1,true
中雋整形外科及頭頸外科中心,中雋整形外科及頭頸外科中心,officeTower,中雋整形外科及頭頸外科中心,,,,,,1,true
何郭佩珍耆康中心,何郭佩珍耆康中心,officeTower,何郭佩珍耆康中心,,,,,,1,true
偉業商業樓,偉業商業樓,officeTower,偉業商業樓,,,,,,1,true
兆英商業大廈,兆英商業大廈,officeTower,兆英商業大廈,,,,,,1,true
利基商業大廈,利基商業大廈,officeTower,利基商業大廈,,,,,,1,true
利達商業大廈,利達商業大廈,officeTower,利達商業大廈,,,,,,1,true
北海商業大廈,北海商業大廈,officeTower,北海商業大廈,,,,,,1,true
北海商業大廈 (前稱),北海商業大廈 (前稱),officeTower,北海商業大廈 (前稱),,,,,,1,true
南島商業大廈,南島商業大廈,officeTower,南島商業大廈,,,,,,1,true
南洋商業銀行大廈,南洋商業銀行大廈,officeTower,南洋商業銀行大廈,,,,,,1,true
南洋商業銀行有限公司,南洋商業銀行有限公司,officeTower,南洋商業銀行有限公司,,,,,,1,true
啓德商業大廈,啓德商業大廈,officeTower,啓德商業大廈,,,,,,1,true
啓煌商業大廈,啓煌商業大廈,officeTower,啓煌商業大廈,,,,,,1,true
基督中心堂(旺恩),基督中心堂(旺恩),officeTower,基督中心堂(旺恩),,,,,,1,true
大埔污水處理廠中央控制大廈,大埔污水處理廠中央控制大廈,officeTower,大埔污水處理廠中央控制大廈,,,,,,1,true
大新人壽大廈 (前稱),大新人壽大廈 (前稱),officeTower,大新人壽大廈 (前稱),,,,,,1,true
大眾銀行中心 (前稱),大眾銀行中心 (前稱),officeTower,大眾銀行中心 (前稱),,,,,,1,true
學峯少數族裔資源中心,學峯少數族裔資源中心,officeTower,學峯少數族裔資源中心,,,,,,1,true
安子介樓香港心臟中心,安子介樓香港心臟中心,officeTower,安子介樓香港心臟中心,,,,,,1,true
希瑪眼科中心,希瑪眼科中心,officeTower,希瑪眼科中心,,,,,,1,true
康樂商業大廈,康樂商業大廈,officeTower,康樂商業大廈,,,,,,1,true
得利商業大廈,得利商業大廈,officeTower,得利商業大廈,,,,,,1,true
微創牙髓治療專科中心,微創牙髓治療專科中心,officeTower,微創牙髓治療專科中心,,,,,,1,true
恒生灣仔大廈,恒生灣仔大廈,officeTower,恒生灣仔大廈,,,,,,1,true
愛心力量中原慈善基金洗腎中心有限公司,愛心力量中原慈善基金洗腎中心有限公司,officeTower,愛心力量中原慈善基金洗腎中心有限公司,,,,,,1,true
救世軍「結伴行」家長資源中心,救世軍「結伴行」家長資源中心,officeTower,救世軍「結伴行」家長資源中心,,,,,,1,true
救世軍地區支援中心 (沙田南),救世軍地區支援中心 (沙田南),officeTower,救世軍地區支援中心 (沙田南),,,,,,1,true
東亞銀行灣仔大廈 (前稱),東亞銀行灣仔大廈 (前稱),officeTower,東亞銀行灣仔大廈 (前稱),,,,,,1,true
東協商業大廈,東協商業大廈,officeTower,東協商業大廈,,,,,,1,true
榮利商業大廈 (前稱),榮利商業大廈 (前稱),officeTower,榮利商業大廈 (前稱),,,,,,1,true
沙鷹曲棍球中心,沙鷹曲棍球中心,officeTower,沙鷹曲棍球中心,,,,,,1,true
海港商業大廈,海港商業大廈,officeTower,海港商業大廈,,,,,,1,true
漢國銅鑼灣中心 (別稱),漢國銅鑼灣中心 (別稱),officeTower,漢國銅鑼灣中心 (別稱),,,,,,1,true
灣仔中滙大廈,灣仔中滙大廈,officeTower,灣仔中滙大廈,,,,,,1,true
灣仔商業中心,灣仔商業中心,officeTower,灣仔商業中心,,,,,,1,true
登富商業大廈,登富商業大廈,officeTower,登富商業大廈,,,,,,1,true
紀寬樂醫行-樂健心臟中心有限公司,紀寬樂醫行-樂健心臟中心有限公司,officeTower,紀寬樂醫行-樂健心臟中心有限公司,,,,,,1,true
聯威商業中心,聯威商業中心,officeTower,聯威商業中心,,,,,,1,true
興業商業中心,興業商業中心,officeTower,興業商業中心,,,,,,1,true
英皇商業中心,英皇商業中心,officeTower,英皇商業中心,,,,,,1,true
華人銀行東區大廈,華人銀行東區大廈,officeTower,華人銀行東區大廈,,,,,,1,true
華傑商業中心,華傑商業中心,officeTower,華傑商業中心,,,,,,1,true
萬興大廈,萬興大廈,officeTower,萬興大廈,,,,,,1,true
詹氏商業大廈,詹氏商業大廈,officeTower,詹氏商業大廈,,,,,,1,true
豫泰商業大廈,豫泰商業大廈,officeTower,豫泰商業大廈,,,,,,1,true
賢薈醫務中心,賢薈醫務中心,officeTower,賢薈醫務中心,,,,,,1,true
越峰成長中心 : 東區及灣仔服務處,越峰成長中心 : 東區及灣仔服務處,officeTower,越峰成長中心 : 東區及灣仔服務處,,,,,,1,true
通用商業大廈,通用商業大廈,officeTower,通用商業大廈,,,,,,1,true
進匯醫務中心,進匯醫務中心,officeTower,進匯醫務中心,,,,,,1,true
進匯醫務中心 (中環),進匯醫務中心 (中環),officeTower,進匯醫務中心 (中環),,,,,,1,true
遠東發展屯門中心大廈,遠東發展屯門中心大廈,officeTower,遠東發展屯門中心大廈,,,,,,1,true
金利商業大廈,金利商業大廈,officeTower,金利商業大廈,,,,,,1,true
開僑商業大廈,開僑商業大廈,officeTower,開僑商業大廈,,,,,,1,true
順安商業大廈,順安商業大廈,officeTower,順安商業大廈,,,,,,1,true
順禧銅鑼灣中心,順禧銅鑼灣中心,officeTower,順禧銅鑼灣中心,,,,,,1,true
香港腫瘤中心岑信棠醫生臨床腫瘤科專科醫生,香港腫瘤中心岑信棠醫生臨床腫瘤科專科醫生,officeTower,香港腫瘤中心岑信棠醫生臨床腫瘤科專科醫生,,,,,,1,true
香港骨科及關節微創中心,香港骨科及關節微創中心,officeTower,香港骨科及關節微創中心,,,,,,1,true
FOOD LE PARC-合和商場,FOOD LE PARC-合和商場,mall,FOOD LE PARC-合和商場,,,,,,1,true
Wi-Fi.HK 熱點位置: McCafe - 國際金融中心商場,Wi-Fi.HK 熱點位置: McCafe - 國際金融中心商場,mall,Wi-Fi.HK 熱點位置: McCafe - 國際金融中心商場,,,,,,1,true
Wi-Fi.HK 熱點位置: McCafe - 山頂廣場,Wi-Fi.HK 熱點位置: McCafe - 山頂廣場,mall,Wi-Fi.HK 熱點位置: McCafe - 山頂廣場,,,,,,1,true
Wi-Fi.HK 熱點位置: 合和商場,Wi-Fi.HK 熱點位置: 合和商場,mall,Wi-Fi.HK 熱點位置: 合和商場,,,,,,1,true
Wi-Fi.HK 熱點位置: 新城市中央廣場,Wi-Fi.HK 熱點位置: 新城市中央廣場,mall,Wi-Fi.HK 熱點位置: 新城市中央廣場,,,,,,1,true
Wi-Fi.HK 熱點位置: 麥當勞 - 國際金融中心商場,Wi-Fi.HK 熱點位置: 麥當勞 - 國際金融中心商場,mall,Wi-Fi.HK 熱點位置: 麥當勞 - 國際金融中心商場,,,,,,1,true
力寶商業大廈(銅鑼灣廣場第二期) (前稱),力寶商業大廈(銅鑼灣廣場第二期) (前稱),mall,力寶商業大廈(銅鑼灣廣場第二期) (前稱),,,,,,1,true
嘉軒廣場,嘉軒廣場,mall,嘉軒廣場,,,,,,1,true
新城市中央廣場,新城市中央廣場,mall,新城市中央廣場,,,,,,1,true
新城市中央廣場/HomeSquare,新城市中央廣場/HomeSquare,mall,新城市中央廣場/HomeSquare,,,,,,1,true
新城市中央廣場2座,新城市中央廣場2座,mall,新城市中央廣場2座,,,,,,1,true
東滙廣場,東滙廣場,mall,東滙廣場,,,,,,1,true
蘋果商場-天后,蘋果商場-天后,mall,蘋果商場-天后,,,,,,1,true
誠利商場,誠利商場,mall,誠利商場,,,,,,1,true
銅鑼灣廣場2期,銅鑼灣廣場2期,mall,銅鑼灣廣場2期,,,,,,1,true
駿發花園中央廣場,駿發花園中央廣場,mall,駿發花園中央廣場,,,,,,1,true
cafe330 (廣華醫院),cafe330 (廣華醫院),hospital,cafe330 (廣華醫院),,,,,,1,true
CENTRAL INTEGRATED CLINIC,CENTRAL INTEGRATED CLINIC,hospital,CENTRAL INTEGRATED CLINIC,,,,,,1,true
JOY MED CLINIC,JOY MED CLINIC,hospital,JOY MED CLINIC,,,,,,1,true
Metro Medical Centre,Metro Medical Centre,hospital,Metro Medical Centre,,,,,,1,true
Vango-北大嶼山醫院,Vango-北大嶼山醫院,hospital,Vango-北大嶼山醫院,,,,,,1,true
Wi-Fi.HK 熱點位置: 廣華醫院,Wi-Fi.HK 熱點位置: 廣華醫院,hospital,Wi-Fi.HK 熱點位置: 廣華醫院,,,,,,1,true
Wi-Fi.HK 熱點位置: 瑪麗醫院,Wi-Fi.HK 熱點位置: 瑪麗醫院,hospital,Wi-Fi.HK 熱點位置: 瑪麗醫院,,,,,,1,true
「卓思廊」廣華醫院復康店,「卓思廊」廣華醫院復康店,hospital,「卓思廊」廣華醫院復康店,,,,,,1,true
九龍城長者健康中心,九龍城長者健康中心,hospital,九龍城長者健康中心,,,,,,1,true
九龍醫院(康復大樓),九龍醫院(康復大樓),hospital,九龍醫院(康復大樓),,,,,,1,true
九龍醫院A座,九龍醫院A座,hospital,九龍醫院A座,,,,,,1,true
九龍醫院B座,九龍醫院B座,hospital,九龍醫院B座,,,,,,1,true
九龍醫院C座,九龍醫院C座,hospital,九龍醫院C座,,,,,,1,true
九龍醫院M座,九龍醫院M座,hospital,九龍醫院M座,,,,,,1,true
九龍醫院P座,九龍醫院P座,hospital,九龍醫院P座,,,,,,1,true
九龍醫院S座,九龍醫院S座,hospital,九龍醫院S座,,,,,,1,true
九龍醫院康復大樓,九龍醫院康復大樓,hospital,九龍醫院康復大樓,,,,,,1,true
九龍醫院正座,九龍醫院正座,hospital,九龍醫院正座,,,,,,1,true
九龍醫院西翼,九龍醫院西翼,hospital,九龍醫院西翼,,,,,,1,true
仁安醫院,仁安醫院,hospital,仁安醫院,,,,,,1,true
仁安醫院分科診所 (尖沙咀),仁安醫院分科診所 (尖沙咀),hospital,仁安醫院分科診所 (尖沙咀),,,,,,1,true
仁愛堂綜合及流動中醫醫療車,仁愛堂綜合及流動中醫醫療車,hospital,仁愛堂綜合及流動中醫醫療車,,,,,,1,true
仁濟醫院B座,仁濟醫院B座,hospital,仁濟醫院B座,,,,,,1,true
仁濟醫院大埔富蝶安老院,仁濟醫院大埔富蝶安老院,hospital,仁濟醫院大埔富蝶安老院,,,,,,1,true
仁濟醫院李陳玉嬋安老院,仁濟醫院李陳玉嬋安老院,hospital,仁濟醫院李陳玉嬋安老院,,,,,,1,true
