label,query,subcategory,exact_name,name_contains,district,aliases_en,aliases_zh,append_to,limit,enabled
MIDTOWN 會所,MIDTOWN 會所,majorDestination,MIDTOWN 會所,,,,,,1,true
MINI HOTEL,MINI HOTEL,majorDestination,MINI HOTEL,,,,,,1,true
NICHOLSON CLUB,NICHOLSON CLUB,majorDestination,NICHOLSON CLUB,,,,,,1,true
Nottingham Children Campus,Nottingham Children Campus,majorDestination,Nottingham Children Campus,,,,,,1,true
One Harbour Square,One Harbour Square,majorDestination,One Harbour Square,,,,,,1,true
PEAK SCHOOL,PEAK SCHOOL,majorDestination,PEAK SCHOOL,,,,,,1,true
POOLSIDE CLUB,POOLSIDE CLUB,majorDestination,POOLSIDE CLUB,,,,,,1,true
PRUDENTIAL HOTEL,PRUDENTIAL HOTEL,majorDestination,PRUDENTIAL HOTEL,,,,,,1,true
St.Stephen's College College House,St.Stephen's College College House,majorDestination,St.Stephen's College College House,,,,,,1,true
STANLEY ORIENTAL HOTEL,STANLEY ORIENTAL HOTEL,majorDestination,STANLEY ORIENTAL HOTEL,,,,,,1,true
T Market,T Market,majorDestination,T Market,,,,,,1,true
T 酒店,T 酒店,majorDestination,T 酒店,,,,,,1,true
The Parkside 商場,The Parkside 商場,majorDestination,The Parkside 商場,,,,,,1,true
TOPAZ CLUB,TOPAZ CLUB,majorDestination,TOPAZ CLUB,,,,,,1,true
TOUCH Centre (東涌分中心),TOUCH Centre (東涌分中心),majorDestination,TOUCH Centre (東涌分中心),,,,,,1,true
Tower 1,Tower 1,majorDestination,Tower 1,,,,,,1,true
TP SOCIAL CLUB,TP SOCIAL CLUB,majorDestination,TP SOCIAL CLUB,,,,,,1,true
Two Harbour Square,Two Harbour Square,majorDestination,Two Harbour Square,,,,,,1,true
Two Harbour Square 停車場,Two Harbour Square 停車場,majorDestination,Two Harbour Square 停車場,,,,,,1,true
Vango-上水翠麗花園,Vango-上水翠麗花園,majorDestination,Vango-上水翠麗花園,,,,,,1,true
Ventilation Building,Ventilation Building,majorDestination,Ventilation Building,,,,,,1,true
Villa Alfavista Villa No 1,Villa Alfavista Villa No 1,majorDestination,Villa Alfavista Villa No 1,,,,,,1,true
Villa Alfavista Villa No 2,Villa Alfavista Villa No 2,majorDestination,Villa Alfavista Villa No 2,,,,,,1,true
Villa Alfavista Villa No 3,Villa Alfavista Villa No 3,majorDestination,Villa Alfavista Villa No 3,,,,,,1,true
Villa Alfavista Villa No 4,Villa Alfavista Villa No 4,majorDestination,Villa Alfavista Villa No 4,,,,,,1,true
Villa Alfavista Villa No 5,Villa Alfavista Villa No 5,majorDestination,Villa Alfavista Villa No 5,,,,,,1,true
Villa Alfavista Villa No 6,Villa Alfavista Villa No 6,majorDestination,Villa Alfavista Villa No 6,,,,,,1,true
Villa Alfavista Villa No 7,Villa Alfavista Villa No 7,majorDestination,Villa Alfavista Villa No 7,,,,,,1,true
We Go MALL 薈高,We Go MALL 薈高,majorDestination,We Go MALL 薈高,,,,,,1,true
Wetland Seasons Bay Shopping Arcade,Wetland Seasons Bay Shopping Arcade,majorDestination,Wetland Seasons Bay Shopping Arcade,,,,,,1,true
WM HOTEL,WM HOTEL,majorDestination,WM HOTEL,,,,,,1,true
wwwtc mall,wwwtc mall,majorDestination,wwwtc mall,,,,,,1,true
X 光化驗所 (中環),X 光化驗所 (中環),majorDestination,X 光化驗所 (中環),,,,,,1,true
YOHO會所,YOHO會所,majorDestination,YOHO會所,,,,,,1,true
YUM SIK ASSOCIATION,YUM SIK ASSOCIATION,majorDestination,YUM SIK ASSOCIATION,,,,,,1,true
一田百貨-大埔,一田百貨-大埔,majorDestination,一田百貨-大埔,,,,,,1,true
三號碼頭花園,三號碼頭花園,majorDestination,三號碼頭花園,,,,,,1,true
三號花園,三號花園,majorDestination,三號花園,,,,,,1,true
上村公園,上村公園,majorDestination,上村公園,,,,,,1,true
上水就業中心,上水就業中心,majorDestination,上水就業中心,,,,,,1,true
上水廣場,上水廣場,majorDestination,上水廣場,,,,,,1,true
上水鄉籃球場,上水鄉籃球場,majorDestination,上水鄉籃球場,,,,,,1,true
上環服務中心,上環服務中心,majorDestination,上環服務中心,,,,,,1,true
上真閣,上真閣,majorDestination,上真閣,,,,,,1,true
下灣村籃球場,下灣村籃球場,majorDestination,下灣村籃球場,,,,,,1,true
下葵涌,下葵涌,majorDestination,下葵涌,,,,,,1,true
世紀大廈,世紀大廈,majorDestination,世紀大廈,,,,,,1,true
世紀村,世紀村,majorDestination,世紀村,,,,,,1,true
中區政府碼頭,中區政府碼頭,majorDestination,中區政府碼頭,,,,,,1,true
中區警區警察服務中心,中區警區警察服務中心,majorDestination,中區警區警察服務中心,,,,,,1,true
中區警察服務中心,中區警察服務中心,majorDestination,中區警察服務中心,,,,,,1,true
中國會,中國會,majorDestination,中國會,,,,,,1,true
中國石油-九龍城,中國石油-九龍城,majorDestination,中國石油-九龍城,,,,,,1,true
中國銀行大廈,中國銀行大廈,majorDestination,中國銀行大廈,,,,,,1,true
中天廔,中天廔,majorDestination,中天廔,,,,,,1,true
中山紀念公園 (指定位置),中山紀念公園 (指定位置),majorDestination,中山紀念公園 (指定位置),,,,,,1,true
中旅閣,中旅閣,majorDestination,中旅閣,,,,,,1,true
中灣,中灣,majorDestination,中灣,,,,,,1,true
中環4號碼頭,中環4號碼頭,majorDestination,中環4號碼頭,,,,,,1,true
中環5號碼頭,中環5號碼頭,majorDestination,中環5號碼頭,,,,,,1,true
中環中心,中環中心,majorDestination,中環中心,,,,,,1,true
中聖書院,中聖書院,majorDestination,中聖書院,,,,,,1,true
中興樓,中興樓,majorDestination,中興樓,,,,,,1,true
中華大廈,中華大廈,majorDestination,中華大廈,,,,,,1,true
中西區,中西區,majorDestination,中西區,,,,,,1,true
中西區地區康健中心 (主中心),中西區地區康健中心 (主中心),majorDestination,中西區地區康健中心 (主中心),,,,,,1,true
中西區地區康健中心 - 主中心,中西區地區康健中心 - 主中心,majorDestination,中西區地區康健中心 - 主中心,,,,,,1,true
中西區地區康健中心 - 附屬中心 -西環,中西區地區康健中心 - 附屬中心 -西環,majorDestination,中西區地區康健中心 - 附屬中心 -西環,,,,,,1,true
中西區海濱長廊 - 中環段 (向中環碼頭),中西區海濱長廊 - 中環段 (向中環碼頭),majorDestination,中西區海濱長廊 - 中環段 (向中環碼頭),,,,,,1,true
