label,query,subcategory,exact_name,name_contains,district,aliases_en,aliases_zh,append_to,limit,enabled
616疫苗體檢中心有限公司,616疫苗體檢中心有限公司,officeTower,616疫苗體檢中心有限公司,,,,,,1,true
Abergeldie House 1,Abergeldie House 1,officeTower,Abergeldie House 1,,,,,,1,true
Abergeldie House 5,Abergeldie House 5,officeTower,Abergeldie House 5,,,,,,1,true
Air House,Air House,officeTower,Air House,,,,,,1,true
Botanica Bay House 10,Botanica Bay House 10,officeTower,Botanica Bay House 10,,,,,,1,true
C.W. P/P House,C.W. P/P House,officeTower,C.W. P/P House,,,,,,1,true
Capri House 10,Capri House 10,officeTower,Capri House 10,,,,,,1,true
Capri House 5,Capri House 5,officeTower,Capri House 5,,,,,,1,true
Clovelly House,Clovelly House,officeTower,Clovelly House,,,,,,1,true
Comfort House,Comfort House,officeTower,Comfort House,,,,,,1,true
FUSION 偉華中心,FUSION 偉華中心,officeTower,FUSION 偉華中心,,,,,,1,true
FUSION 和富中心,FUSION 和富中心,officeTower,FUSION 和富中心,,,,,,1,true
Gauge House,Gauge House,officeTower,Gauge House,,,,,,1,true
Hillsdene House,Hillsdene House,officeTower,Hillsdene House,,,,,,1,true
House 1,House 1,officeTower,House 1,,,,,,1,true
House 10,House 10,officeTower,House 10,,,,,,1,true
House 10 Severn Hill,House 10 Severn Hill,officeTower,House 10 Severn Hill,,,,,,1,true
House 11,House 11,officeTower,House 11,,,,,,1,true
House 12,House 12,officeTower,House 12,,,,,,1,true
House 15,House 15,officeTower,House 15,,,,,,1,true
House 16,House 16,officeTower,House 16,,,,,,1,true
House 17,House 17,officeTower,House 17,,,,,,1,true
House 2,House 2,officeTower,House 2,,,,,,1,true
House 3,House 3,officeTower,House 3,,,,,,1,true
House 5,House 5,officeTower,House 5,,,,,,1,true
House 6,House 6,officeTower,House 6,,,,,,1,true
House 7,House 7,officeTower,House 7,,,,,,1,true
House 8,House 8,officeTower,House 8,,,,,,1,true
House 9,House 9,officeTower,House 9,,,,,,1,true
House A,House A,officeTower,House A,,,,,,1,true
House B,House B,officeTower,House B,,,,,,1,true
House C,House C,officeTower,House C,,,,,,1,true
House D,House D,officeTower,House D,,,,,,1,true
Junction House,Junction House,officeTower,Junction House,,,,,,1,true
Lake House,Lake House,officeTower,Lake House,,,,,,1,true
Market Place 京華中心,Market Place 京華中心,officeTower,Market Place 京華中心,,,,,,1,true
Mayfair By The Sea I House 10,Mayfair By The Sea I House 10,officeTower,Mayfair By The Sea I House 10,,,,,,1,true
Mayfair By The Sea I House 11,Mayfair By The Sea I House 11,officeTower,Mayfair By The Sea I House 11,,,,,,1,true
Mayfair By The Sea I House 12,Mayfair By The Sea I House 12,officeTower,Mayfair By The Sea I House 12,,,,,,1,true
Mayfair By The Sea I House 15,Mayfair By The Sea I House 15,officeTower,Mayfair By The Sea I House 15,,,,,,1,true
Mayfair By The Sea I House 7,Mayfair By The Sea I House 7,officeTower,Mayfair By The Sea I House 7,,,,,,1,true
Mayfair By The Sea I House 8,Mayfair By The Sea I House 8,officeTower,Mayfair By The Sea I House 8,,,,,,1,true
Mayfair By The Sea I House 9,Mayfair By The Sea I House 9,officeTower,Mayfair By The Sea I House 9,,,,,,1,true
OK便利店-偉華中心,OK便利店-偉華中心,officeTower,OK便利店-偉華中心,,,,,,1,true
OK便利店-元新大廈,OK便利店-元新大廈,officeTower,OK便利店-元新大廈,,,,,,1,true
OK便利店-新文華中心,OK便利店-新文華中心,officeTower,OK便利店-新文華中心,,,,,,1,true
OK便利店-興華中心,OK便利店-興華中心,officeTower,OK便利店-興華中心,,,,,,1,true
OK便利店-艾麗大廈,OK便利店-艾麗大廈,officeTower,OK便利店-艾麗大廈,,,,,,1,true
OTOPAC 輪胎電池服務中心,OTOPAC 輪胎電池服務中心,officeTower,OTOPAC 輪胎電池服務中心,,,,,,1,true
PARKNSHOP 慈雲山中心,PARKNSHOP 慈雲山中心,officeTower,PARKNSHOP 慈雲山中心,,,,,,1,true
SANDHU GUEST HOUSE,SANDHU GUEST HOUSE,officeTower,SANDHU GUEST HOUSE,,,,,,1,true
Savannah House 5,Savannah House 5,officeTower,Savannah House 5,,,,,,1,true
Sky One House A,Sky One House A,officeTower,Sky One House A,,,,,,1,true
Sky One House B,Sky One House B,officeTower,Sky One House B,,,,,,1,true
Sky One House C,Sky One House C,officeTower,Sky One House C,,,,,,1,true
Sky One House D,Sky One House D,officeTower,Sky One House D,,,,,,1,true
TASTE X FRESH-黃大仙中心北館,TASTE X FRESH-黃大仙中心北館,officeTower,TASTE X FRESH-黃大仙中心北館,,,,,,1,true
Tyburn House,Tyburn House,officeTower,Tyburn House,,,,,,1,true
Ultima House 5,Ultima House 5,officeTower,Ultima House 5,,,,,,1,true
Uptown House 10,Uptown House 10,officeTower,Uptown House 10,,,,,,1,true
VanGo-灣景中心,VanGo-灣景中心,officeTower,VanGo-灣景中心,,,,,,1,true
VC House,VC House,officeTower,VC House,,,,,,1,true
Wi-Fi.HK 熱點位置: McCafe - 新文華中心,Wi-Fi.HK 熱點位置: McCafe - 新文華中心,officeTower,Wi-Fi.HK 熱點位置: McCafe - 新文華中心,,,,,,1,true
Wi-Fi.HK 熱點位置: McCafe - 樂嘉中心,Wi-Fi.HK 熱點位置: McCafe - 樂嘉中心,officeTower,Wi-Fi.HK 熱點位置: McCafe - 樂嘉中心,,,,,,1,true
Wi-Fi.HK 熱點位置: 中銀香港 - 北角中銀理財中心,Wi-Fi.HK 熱點位置: 中銀香港 - 北角中銀理財中心,officeTower,Wi-Fi.HK 熱點位置: 中銀香港 - 北角中銀理財中心,,,,,,1,true
Wi-Fi.HK 熱點位置: 創新中心,Wi-Fi.HK 熱點位置: 創新中心,officeTower,Wi-Fi.HK 熱點位置: 創新中心,,,,,,1,true
Wi-Fi.HK 熱點位置: 南山中心​​​,Wi-Fi.HK 熱點位置: 南山中心​​​,officeTower,Wi-Fi.HK 熱點位置: 南山中心​​​,,,,,,1,true
Wi-Fi.HK 熱點位置: 白普理田景中心及宿舍​​,Wi-Fi.HK 熱點位置: 白普理田景中心及宿舍​​,officeTower,Wi-Fi.HK 熱點位置: 白普理田景中心及宿舍​​,,,,,,1,true
Wi-Fi.HK 熱點位置: 麥當勞 - 慈雲山中心,Wi-Fi.HK 熱點位置: 麥當勞 - 慈雲山中心,officeTower,Wi-Fi.HK 熱點位置: 麥當勞 - 慈雲山中心,,,,,,1,true
Wi-Fi.HK 熱點位置: 麥當勞 - 新文華中心,Wi-Fi.HK 熱點位置: 麥當勞 - 新文華中心,officeTower,Wi-Fi.HK 熱點位置: 麥當勞 - 新文華中心,,,,,,1,true
Wi-Fi.HK 熱點位置: 麥當勞 - 樂嘉中心,Wi-Fi.HK 熱點位置: 麥當勞 - 樂嘉中心,officeTower,Wi-Fi.HK 熱點位置: 麥當勞 - 樂嘉中心,,,,,,1,true
上海中心,上海中心,officeTower,上海中心,,,,,,1,true
上海大廈,上海大廈,officeTower,上海大廈,,,,,,1,true
中信國際中心,中信國際中心,officeTower,中信國際中心,,,,,,1,true
中國人壽中心A座,中國人壽中心A座,officeTower,中國人壽中心A座,,,,,,1,true
中國人壽中心B座,中國人壽中心B座,officeTower,中國人壽中心B座,,,,,,1,true
中國恆大中心 (前稱),中國恆大中心 (前稱),officeTower,中國恆大中心 (前稱),,,,,,1,true
中大印刷集團大廈 (前稱),中大印刷集團大廈 (前稱),officeTower,中大印刷集團大廈 (前稱),,,,,,1,true
中源中心,中源中心,officeTower,中源中心,,,,,,1,true
中源中心A座,中源中心A座,officeTower,中源中心A座,,,,,,1,true
中源中心B座,中源中心B座,officeTower,中源中心B座,,,,,,1,true
中美中心,中美中心,officeTower,中美中心,,,,,,1,true
中華電力-青衣中心,中華電力-青衣中心,officeTower,中華電力-青衣中心,,,,,,1,true
中華電力－青衣中心,中華電力－青衣中心,officeTower,中華電力－青衣中心,,,,,,1,true
中財中心,中財中心,officeTower,中財中心,,,,,,1,true
九龍半島醫學中心,九龍半島醫學中心,officeTower,九龍半島醫學中心,,,,,,1,true
亞畢諾大廈,亞畢諾大廈,officeTower,亞畢諾大廈,,,,,,1,true
京寶大廈,京寶大廈,officeTower,京寶大廈,,,,,,1,true
京華中心,京華中心,officeTower,京華中心,,,,,,1,true
京華中心二座,京華中心二座,officeTower,京華中心二座,,,,,,1,true
京華中心第二座 (別稱),京華中心第二座 (別稱),officeTower,京華中心第二座 (別稱),,,,,,1,true
京華大廈,京華大廈,officeTower,京華大廈,,,,,,1,true
仁富大廈 (別稱),仁富大廈 (別稱),officeTower,仁富大廈 (別稱),,,,,,1,true
仁寶大廈,仁寶大廈,officeTower,仁寶大廈,,,,,,1,true
仁寶大廈A-H座,仁寶大廈A-H座,officeTower,仁寶大廈A-H座,,,,,,1,true
仁寶大廈I-P座,仁寶大廈I-P座,officeTower,仁寶大廈I-P座,,,,,,1,true
仁美大廈,仁美大廈,officeTower,仁美大廈,,,,,,1,true
伊利莎伯大廈,伊利莎伯大廈,officeTower,伊利莎伯大廈,,,,,,1,true
伊利莎伯大廈A座,伊利莎伯大廈A座,officeTower,伊利莎伯大廈A座,,,,,,1,true
伊利莎伯大廈B座,伊利莎伯大廈B座,officeTower,伊利莎伯大廈B座,,,,,,1,true
伊利莎伯大廈C座,伊利莎伯大廈C座,officeTower,伊利莎伯大廈C座,,,,,,1,true
保華大廈,保華大廈,officeTower,保華大廈,,,,,,1,true
倫美大廈,倫美大廈,officeTower,倫美大廈,,,,,,1,true
偉景大廈,偉景大廈,officeTower,偉景大廈,,,,,,1,true
偉華中心,偉華中心,officeTower,偉華中心,,,,,,1,true
偉華中心第1座,偉華中心第1座,officeTower,偉華中心第1座,,,,,,1,true
偉華中心第2座,偉華中心第2座,officeTower,偉華中心第2座,,,,,,1,true
偉華中心第3座,偉華中心第3座,officeTower,偉華中心第3座,,,,,,1,true
偉華中心第4座,偉華中心第4座,officeTower,偉華中心第4座,,,,,,1,true
元新大廈,元新大廈,officeTower,元新大廈,,,,,,1,true
元朗地區康健中心,元朗地區康健中心,officeTower,元朗地區康健中心,,,,,,1,true
元朗地區康健中心 - 主中心,元朗地區康健中心 - 主中心,officeTower,元朗地區康健中心 - 主中心,,,,,,1,true
